Thematic;Parent;Created;INDEX
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/SRTM/3arcsec/VER4-1;Wed Mar 22 18:06:14 2017;BaseData.Elevation.GLOBAL.SRTM.3arcsec.VER4-1
BaseData;/eos/jeodpp/data/base/Elevation/NORTH_AMERICA/GIMP/VER2-2;Wed Sep  2 09:36:43 2020;BaseData.Elevation.NORTH_AMERICA.GIMP.VER2-2
BaseData;/eos/jeodpp/data/base/GeographicalGridSystems/GLOBAL/Equi7Grid/LATEST;Fri Apr 21 14:19:06 2017;BaseData.GeographicalGridSystems.GLOBAL.Equi7Grid.LATEST
BaseData;/eos/jeodpp/data/base/GeographicalGridSystems/GLOBAL/Equi7Grid/VER1-3;Fri Apr 21 14:19:06 2017;BaseData.GeographicalGridSystems.GLOBAL.Equi7Grid.VER1-3
BaseData;/eos/jeodpp/data/base/GeographicalGridSystems/GLOBAL/MGRS/S2/LATEST;Fri Mar 31 13:11:17 2017;BaseData.GeographicalGridSystems.GLOBAL.MGRS.S2.LATEST
BaseData;/eos/jeodpp/data/base/GeographicalGridSystems/GLOBAL/MGRS/S2/VER1-0;Fri Mar 31 13:11:17 2017;BaseData.GeographicalGridSystems.GLOBAL.MGRS.S2.VER1-0
Products;/eos/jeodpp/data/products/Landcover/EUROPE/GHSL/BuiltUp/DWH2-VHR2015/VER-2019_1-0;Mon Jul 15 13:25:30 2019;Products.Landcover.EUROPE.GHSL.BuiltUp.DWH2-VHR2015.VER-2019_1-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/BuiltUp/Landsat/1975/VER-2018A_2-0;Wed Jul  3 14:14:43 2019;Products.Landcover.GLOBAL.GHSL.BuiltUp.Landsat.1975.VER-2018A_2-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/BuiltUp/Landsat/1990/VER-2018A_2-0;Wed Jul  3 14:14:43 2019;Products.Landcover.GLOBAL.GHSL.BuiltUp.Landsat.1990.VER-2018A_2-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/BuiltUp/Landsat/2000/VER-2018A_2-0;Wed Jul  3 14:14:43 2019;Products.Landcover.GLOBAL.GHSL.BuiltUp.Landsat.2000.VER-2018A_2-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/BuiltUp/Landsat/2014/VER-2018A_2-0;Wed Jul  3 14:14:43 2019;Products.Landcover.GLOBAL.GHSL.BuiltUp.Landsat.2014.VER-2018A_2-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/BuiltUp/Landsat/MultiTemporal/VER-2018A_2-0;Wed Jul  3 14:14:43 2019;Products.Landcover.GLOBAL.GHSL.BuiltUp.Landsat.MultiTemporal.VER-2018A_2-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/BuiltUp/Sentinel-2/VER-2020A_1-0;Thu Apr 16 11:53:46 2020;Products.Landcover.GLOBAL.GHSL.BuiltUp.Sentinel-2.VER-2020A_1-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/FunctionalUrbanAreas/2015/VER-2019A_1-0;Wed Dec 11 09:46:35 2019;Products.Landcover.GLOBAL.GHSL.FunctionalUrbanAreas.2015.VER-2019A_1-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/SettlementModel/1975/VER-2019A_1-0;Tue Jul  2 17:04:11 2019;Products.Landcover.GLOBAL.GHSL.SettlementModel.1975.VER-2019A_1-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/SettlementModel/1975/VER-2019A_2-0;Wed Dec 11 09:46:35 2019;Products.Landcover.GLOBAL.GHSL.SettlementModel.1975.VER-2019A_2-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/SettlementModel/1990/VER-2019A_1-0;Tue Jul  2 17:03:56 2019;Products.Landcover.GLOBAL.GHSL.SettlementModel.1990.VER-2019A_1-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/SettlementModel/1990/VER-2019A_2-0;Wed Dec 11 09:46:35 2019;Products.Landcover.GLOBAL.GHSL.SettlementModel.1990.VER-2019A_2-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/SettlementModel/2000/VER-2019A_1-0;Tue Jul  2 17:03:34 2019;Products.Landcover.GLOBAL.GHSL.SettlementModel.2000.VER-2019A_1-0
Products;/eos/jeodpp/data/products/Landcover/GLOBAL/GHSL/SettlementModel/2000/VER-2019A_2-0;Wed Dec 11 09:46:37 2019;Products.Landcover.GLOBAL.GHSL.SettlementModel.2000.VER-2019A_2-0
